,name,xP,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
186,Tyler Onyango,1.0,Tyler,Onyango,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,MID
187,Aaron Ramsey,0.99,Aaron,Ramsey,0.0,0.0,1.0,22.0,0.0,1.0,1.2,0.0,0.0,3.0,0.2,0.0,0.0,0.0,0.0,50.0,MID
188,Ben Doak,0.99,Ben,Doak,0.0,0.0,1.0,13.0,0.0,0.8,0.2,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.1,45.0,MID
199,Cole Palmer,0.97,Cole,Palmer,0.0,0.0,2.0,38.0,0.0,18.0,6.0,4.0,0.0,8.0,2.7,0.0,0.0,0.0,0.2,49.0,MID
201,Oscar Bobb,0.97,Oscar,Bobb,0.0,0.0,1.0,1.0,0.0,0.8,2.4,2.0,0.0,5.0,0.5,0.0,0.0,0.0,0.0,44.0,MID
202,Shandon Baptiste,0.97,Shandon,Baptiste,0.0,0.0,1.0,18.0,0.0,0.0,2.2,0.0,0.0,3.0,0.2,0.0,0.0,0.0,1.6,44.0,MID
203,Jack Cork,0.96,Jack,Cork,0.0,0.0,1.0,16.0,0.0,0.9,1.8,2.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,49.0,MID
204,Mykhailo Mudryk,0.96,Mykhailo,Mudryk,0.0,0.0,3.0,67.0,2.0,40.2,11.2,24.0,0.0,15.0,7.6,0.0,0.0,0.0,0.9,64.0,MID
208,Noni Madueke,0.95,Noni,Madueke,0.0,0.0,2.0,43.0,1.0,10.4,7.2,26.0,0.0,4.0,4.3,0.0,0.0,0.0,0.1,54.0,MID
213,Jacob Bruun Larsen,0.94,Jacob,Bruun Larsen,0.0,0.0,3.0,60.0,1.0,23.0,6.4,25.0,0.0,6.0,5.2,0.0,0.0,0.0,0.0,49.0,MID
214,Lewis Dobbin,0.94,Lewis,Dobbin,0.0,0.0,5.0,117.0,2.0,13.0,13.2,25.0,0.0,12.0,5.1,1.0,0.0,0.0,0.1,45.0,MID
215,Jaidon Anthony,0.93,Jaidon,Anthony,0.0,0.0,3.0,151.0,5.0,4.6,9.0,16.0,0.0,4.0,3.0,0.0,0.0,1.0,0.1,49.0,MID
216,Kalvin Phillips,0.93,Kalvin,Phillips,0.0,0.0,1.0,6.0,0.0,0.9,4.2,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,49.0,MID
221,Mikkel Damsgaard,0.92,Mikkel,Damsgaard,0.0,0.0,2.0,52.0,0.0,3.3,10.4,17.0,0.0,4.0,3.1,0.0,0.0,0.0,0.1,49.0,MID
222,Curtis Jones,0.91,Curtis,Jones,0.0,0.0,4.0,87.0,0.0,3.6,7.6,2.0,0.0,12.0,1.3,1.0,0.0,0.0,0.1,49.0,MID
223,Harvey Elliott,0.91,Harvey,Elliott,0.0,0.0,4.0,85.0,0.0,16.3,12.2,6.0,0.0,15.0,3.5,0.0,0.0,0.0,0.2,49.0,MID
224,Dwight McNeil,0.9,Dwight,McNeil,0.0,0.0,1.0,15.0,0.0,2.0,0.6,2.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,54.0,MID
225,Wataru Endo,0.9,Wataru,Endo,0.0,0.0,3.0,87.0,1.0,2.1,14.2,0.0,0.0,14.0,1.6,0.0,0.0,0.0,0.1,55.0,MID
228,Youri Tielemans,0.88,Youri,Tielemans,0.0,0.0,4.0,94.0,3.0,14.9,10.2,2.0,0.0,18.0,2.7,0.0,0.0,0.0,0.7,58.0,MID
230,Tom Cairney,0.87,Tom,Cairney,0.0,0.0,3.0,99.0,2.0,14.0,1.8,5.0,0.0,11.0,2.1,0.0,0.0,0.0,0.0,50.0,MID
233,Anass Zaroury,0.85,Anass,Zaroury,0.0,0.0,-2.0,30.0,1.0,18.9,0.0,2.0,0.0,-6.0,1.7,0.0,1.0,0.0,0.0,49.0,MID
234,Naouirou Ahamada,0.82,Naouirou,Ahamada,0.0,0.0,2.0,35.0,0.0,3.3,4.8,0.0,0.0,9.0,0.8,0.0,0.0,0.0,0.2,44.0,MID
