,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
51,Jaden,Philogene-Bidace,0,0,1,3,1,0.3,0.4,2,0,3,0.3,0,0,0,0.1,45,MID,Jaden Philogene-Bidace
52,Jacob,Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,59,MID,Jacob Ramsey
53,Morgan,Sanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Morgan Sanson
55,Youri,Tielemans,0,0,4,94,3,14.9,10.2,2,0,18,2.7,0,0,0,0.7,58,MID,Youri Tielemans
56,Bertrand,Traore,0,0,1,9,0,0,0,0,0,3,0,0,0,0,0,50,MID,Bertrand Traoré
60,Moussa,Diaby,2,1,24,311,8,90.1,109.6,105,2,81,30.5,1,0,0,9.5,66,MID,Moussa Diaby
61,Omari,Kellyman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Omari Kellyman
63,Nicolo,Zaniolo,0,0,2,42,0,21.7,9.8,8,0,4,3.9,0,0,0,0,55,MID,Nicolò Zaniolo
66,Jaidon,Anthony,0,0,3,151,5,4.6,9,16,0,4,3,0,0,1,0.1,49,MID,Jaidon Anthony
67,Philip,Billing,0,0,8,355,8,80.9,63.8,64,0,39,20.8,0,0,0,0.5,53,MID,Philip Billing
68,David,Brooks,1,0,12,135,2,43.1,45.8,59,2,39,14.8,0,0,0,0.1,49,MID,David Brooks
69,Ryan,Christie,0,0,7,273,6,53.2,35.4,52,0,30,14.1,0,0,0,0,50,MID,Ryan Christie
70,Lewis,Cook,0,0,3,135,3,3.6,21.2,1,0,13,2.6,0,0,0,0,50,MID,Lewis Cook
71,Siriki,Dembele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Siriki Dembélé
75,Gavin,Kilkenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Gavin Kilkenny
