,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report,name,season
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,LW,68,0,0,0,0,3.0,0.0,0,0,24.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,12.0,16.0,75.0,0.0,19.0,2.0,4.0,2.0,Match Report,Said Benrahma,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,LM,52,0,1,0,0,0.0,0.0,0,0,40.0,1.0,0.0,1.0,0.0,0.0,0.7,7.0,1.0,25.0,29.0,86.2,7.0,21.0,5.0,7.0,3.0,Match Report,Said Benrahma,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,LW,71,0,0,0,0,5.0,1.0,0,0,52.0,1.0,1.0,0.0,0.2,0.2,0.0,2.0,0.0,26.0,37.0,70.3,3.0,35.0,5.0,4.0,1.0,Match Report,Said Benrahma,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,DM,80,0,2,0,0,1,0,0,0,36,2,1,1,0.0,0.0,0.2,2,2,22,26,84.6,3,12,0,0,0,Match Report,James Ward Prowse,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,CM,90,1,0,0,0,3,2,1,0,43,0,4,2,0.8,0.8,0.0,4,1,21,31,67.7,3,5,0,0,0,Match Report,James Ward Prowse,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,DM,90,0,1,0,0,0,0,0,0,87,1,1,2,0.0,0.0,0.2,3,1,68,81,84.0,5,47,1,2,2,Match Report,James Ward Prowse,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,75.9,3.0,12.0,0.0,0.0,0.0,Match Report,Nayef Aguerd,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,CB,66.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,36.0,1.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,16.0,24.0,66.7,0.0,19.0,0.0,0.0,0.0,Match Report,Nayef Aguerd,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,68.0,77.0,88.3,5.0,54.0,1.0,0.0,0.0,Match Report,Nayef Aguerd,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,DM,90,0,1,0,0,2.0,0.0,0,0,44.0,5.0,0.0,0.0,0.4,0.4,0.0,2.0,1.0,17.0,28.0,60.7,2.0,12.0,1.0,0.0,0.0,Match Report,Tomas Soucek,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,DM,90,0,0,0,0,0.0,0.0,0,0,39.0,1.0,5.0,4.0,0.0,0.0,0.2,4.0,0.0,15.0,23.0,65.2,1.0,13.0,0.0,0.0,0.0,Match Report,Tomas Soucek,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,CM,38,0,0,0,0,0.0,0.0,0,0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,0.0,0.0,0.0,Match Report,Tomas Soucek,2023/2024
4,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,DM,10,0,0,0,0,0.0,0.0,0,0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,3.0,0.0,0.0,0.0,Match Report,Edson Alvarez,2023/2024
5,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,"DM,CM",83,0,0,0,0,0.0,0.0,1,0,27.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,53.3,1.0,7.0,0.0,1.0,1.0,Match Report,Edson Alvarez,2023/2024
6,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,DM,90,0,0,0,0,1.0,0.0,0,0,95.0,3.0,1.0,2.0,0.1,0.1,0.1,3.0,1.0,64.0,74.0,86.5,2.0,51.0,0.0,1.0,0.0,Match Report,Edson Alvarez,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,AM,85,0,0,0,0,2,0,0,0,44,4,0,1,0.1,0.1,0.1,5,1,24,31,77.4,6,16,1,2,1,Match Report,Pablo Fornals,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,"RW,FW",15,0,0,0,0,1,1,0,0,9,0,1,0,0.1,0.1,0.0,2,0,6,7,85.7,0,7,1,1,1,Match Report,Pablo Fornals,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,CM,7,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,6,7,85.7,1,6,0,1,0,Match Report,Pablo Fornals,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,LW,19,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,8,0,1,0,Match Report,Pablo Fornals,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Angelo Ogbonna,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,CB,22,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report,Angelo Ogbonna,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,29,1,1,5,0.0,0.0,0.0,0,0,14,17,82.4,1,10,0,0,0,Match Report,Angelo Ogbonna,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Angelo Ogbonna,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,FW,13,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,1,4,25.0,0,5,0,2,1,Match Report,Danny Ings,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Danny Ings,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,FW,6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Match Report,Danny Ings,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,FW,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,0,0,0,Match Report,Danny Ings,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,DM,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Match Report,Thilo Kehrer,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,CB,12,0,0,0,0,0,0,1,0,3,0,0,2,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Match Report,Thilo Kehrer,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Thilo Kehrer,2023/2024
0,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,AM,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report,Maxwel Cornet,2023/2024
1,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Maxwel Cornet,2023/2024
2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Maxwel Cornet,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,Maxwel Cornet,2023/2024
3,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,N,AM,1,0,0,0,0,0.0,0.0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Match Report,Kudus Mohammed,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,20,0,0,0,Match Report,Aaron Ramsdale,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,18,27,66.7,0,21,0,0,0,Match Report,Aaron Ramsdale,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,31,34,91.2,1,20,0,0,0,Match Report,Aaron Ramsdale,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,1,22,0,0,0,Match Report,Aaron Ramsdale,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,CB,90,0,1,0,0,0.0,0.0,0,0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,127.0,130.0,97.7,7.0,114.0,0.0,0.0,0.0,Match Report,William Saliba,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,0.0,0.0,0,0,83.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,61.0,65.0,93.8,0.0,51.0,1.0,0.0,0.0,Match Report,William Saliba,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,CB,90,0,0,0,0,1.0,0.0,0,0,104.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,91.0,96.0,94.8,12.0,55.0,1.0,1.0,0.0,Match Report,William Saliba,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,84.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,79.0,89.9,7.0,59.0,0.0,1.0,1.0,Match Report,William Saliba,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"CB,RB",90,0,0,0,0,0,0,1,0,110.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,94.0,106.0,88.7,7.0,91.0,2.0,1.0,0.0,Match Report,Ben White,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"CB,RB",90,0,0,0,0,0,0,0,0,76.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,61.0,69.0,88.4,6.0,54.0,0.0,0.0,0.0,Match Report,Ben White,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,"CB,RB",90,0,0,0,0,0,0,0,0,108.0,0.0,0,1.0,0.0,0.0,0.1,5.0,0.0,87.0,99.0,87.9,9.0,61.0,3.0,1.0,0.0,Match Report,Ben White,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,RB,90,0,0,0,0,0,0,0,0,76.0,1.0,0,3.0,0.0,0.0,0.4,2.0,0.0,57.0,70.0,81.4,1.0,41.0,2.0,0.0,0.0,Match Report,Ben White,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,CM,90,0,0,0,0,3.0,3.0,0,0,103.0,4.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,84.0,91.0,92.3,3.0,86.0,1.0,2.0,0.0,Match Report,Declan Rice,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,CM,90,0,0,0,0,0.0,0.0,0,0,67.0,0.0,1.0,3.0,0.0,0.0,0.4,1.0,0.0,55.0,61.0,90.2,8.0,41.0,2.0,2.0,0.0,Match Report,Declan Rice,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,CM,89,0,0,0,0,0.0,0.0,0,0,79.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,68.0,71.0,95.8,9.0,45.0,0.0,0.0,0.0,Match Report,Declan Rice,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,CM,90,1,0,0,0,2.0,1.0,0,0,83.0,1.0,2.0,3.0,0.2,0.2,0.0,0.0,0.0,64.0,73.0,87.7,5.0,58.0,3.0,1.0,0.0,Match Report,Declan Rice,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,RW,90,1,0,0,0,3.0,2.0,0,0,81.0,5.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,49.0,67.0,73.1,3.0,62.0,11.0,2.0,0.0,Match Report,Bukayo Saka,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"RW,LB",88,0,0,0,0,3.0,0.0,0,0,70.0,2.0,1.0,2.0,0.2,0.2,0.2,7.0,0.0,37.0,56.0,66.1,5.0,42.0,8.0,2.0,1.0,Match Report,Bukayo Saka,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,RW,90,1,0,1,1,2.0,1.0,0,0,86.0,2.0,0.0,4.0,1.4,0.6,0.5,5.0,1.0,52.0,67.0,77.6,4.0,52.0,6.0,10.0,6.0,Match Report,Bukayo Saka,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,RW,90,0,1,0,0,3.0,1.0,1,0,49.0,3.0,0.0,0.0,0.4,0.4,0.4,7.0,1.0,35.0,39.0,89.7,5.0,29.0,1.0,2.0,1.0,Match Report,Bukayo Saka,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y*,RM,90,0,0,0,0,3.0,0.0,0,0,80.0,3.0,0.0,0.0,0.1,0.1,0.0,6.0,0.0,55.0,69.0,79.7,9.0,65.0,8.0,0.0,0.0,Match Report,Martin Odegaard,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y*,"RM,CM",88,1,0,1,1,2.0,1.0,0,0,47.0,4.0,0.0,0.0,0.8,0.0,0.0,3.0,0.0,33.0,37.0,89.2,3.0,28.0,1.0,1.0,0.0,Match Report,Martin Odegaard,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y*,RM,83,0,0,0,0,3.0,2.0,0,0,60.0,2.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,45.0,51.0,88.2,6.0,38.0,3.0,5.0,3.0,Match Report,Martin Odegaard,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y*,RM,89,1,0,0,0,5.0,2.0,0,0,46.0,0.0,1.0,2.0,0.3,0.3,0.0,5.0,1.0,26.0,35.0,74.3,7.0,31.0,4.0,1.0,1.0,Match Report,Martin Odegaard,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,LW,85,0,1,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.2,3,1,31,33,93.9,3,35,3,4,2,Match Report,Gabriel Martinelli,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,LW,69,0,0,0,0,2,0,0,0,42,1,2,0,0.1,0.1,0.0,2,1,23,35,65.7,2,27,4,1,0,Match Report,Gabriel Martinelli,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,LW,90,0,0,0,0,4,3,0,0,61,0,0,1,0.5,0.5,0.0,3,1,42,52,80.8,7,40,3,2,1,Match Report,Gabriel Martinelli,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,LW,89,0,1,0,0,3,0,0,0,58,0,0,1,0.1,0.1,0.2,4,1,31,46,67.4,2,36,7,9,5,Match Report,Gabriel Martinelli,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"LM,FW",90,0,0,0,0,2.0,0.0,0,0,65.0,1.0,1.0,1.0,0.1,0.1,0.2,3.0,0.0,47.0,54.0,87.0,4.0,54.0,3.0,1.0,0.0,Match Report,Kai Havertz,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"LM,FW,CM",90,0,0,0,0,1.0,0.0,1,0,38.0,1.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,25.0,28.0,89.3,4.0,17.0,0.0,2.0,0.0,Match Report,Kai Havertz,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,LM,55,0,0,0,0,1.0,0.0,0,0,27.0,2.0,0.0,0.0,0.3,0.3,0.3,2.0,0.0,20.0,23.0,87.0,5.0,9.0,1.0,0.0,0.0,Match Report,Kai Havertz,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,LM,76,0,0,0,0,2.0,0.0,0,0,34.0,2.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,22.0,25.0,88.0,2.0,18.0,1.0,0.0,0.0,Match Report,Kai Havertz,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,FW,73,1,0,0,0,3,1,0,0,26,1,0,1,0.2,0.2,0.0,1,0,16,16,100.0,0,14,0,3,0,Match Report,Eddie Nketiah,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,FW,78,0,0,0,0,3,0,0,0,18,0,0,0,0.8,0.8,0.1,6,1,9,12,75.0,1,16,3,4,2,Match Report,Eddie Nketiah,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,N,FW,45,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,0,0,10,12,83.3,1,10,0,1,0,Match Report,Eddie Nketiah,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,FW,75,0,0,0,0,1,0,0,0,35,0,1,1,0.0,0.0,0.1,7,1,19,23,82.6,3,24,1,3,1,Match Report,Eddie Nketiah,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"RB,LM",90,0,0,0,0,0,0,0,0,113.0,2.0,2,1.0,0.0,0.0,0.1,6.0,2.0,100.0,107.0,93.5,11.0,80.0,5.0,1.0,1.0,Match Report,Thomas Partey,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"RB,CM",90,0,0,0,0,2,1,0,0,71.0,3.0,1,1.0,0.1,0.1,0.0,3.0,0.0,52.0,60.0,86.7,6.0,46.0,1.0,2.0,1.0,Match Report,Thomas Partey,2023/2024
3,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,RB,55,0,0,0,0,0,0,0,0,70.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,60.0,67.0,89.6,11.0,41.0,3.0,5.0,4.0,Match Report,Thomas Partey,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,N,LB,41,0,0,0,0,1,1,0,0,48,0,1,0,0.0,0.0,0.0,0,0,37,43,86.0,3,39,0,0,0,Match Report,Takehiro Tomiyasu,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,LB,66,0,0,0,0,0,0,2,1,52,0,0,0,0.0,0.0,0.0,1,0,38,50,76.0,5,32,1,3,2,Match Report,Takehiro Tomiyasu,2023/2024
4,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,N,LB,15,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,1,10,0,0,0,Match Report,Takehiro Tomiyasu,2023/2024
1,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,N,CB,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report,Gabriel Dos Santos,2023/2024
2,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,N,CB,21,0,0,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Match Report,Gabriel Dos Santos,2023/2024
