,name,season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Att,Cmp%,PrgP,Carries,PrgC,Att,Att,Succ,Match Report
1,Marcus Rashford,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 0–2,Manchester Utd,Tottenham,Y,['FW'],84,0,0,0,0,3,1,0,0,27.0,0.0,0,1.0,0.4,0.4,0.1,6.0,0.0,13.0,16.0,2.0,81.3,2.0,18.0,2.0,16.0,2.0,1.0,Match Report
1,Anthony Martial,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 0–2,Manchester Utd,Tottenham,N,['FW'],6,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,6,6,1,100.0,1,6,0,6,1,0,Match Report
2,Anthony Martial,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,W 3–2,Manchester Utd,Nott'ham Forest,Y,['FW'],59,0,0,0,0,1,0,0,0,19,0,0,1,0.0,0.0,0.0,1,0,13,15,0,86.7,1,14,1,15,0,0,Match Report
3,Anthony Martial,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 1–3,Manchester Utd,Arsenal,Y,['FW'],66,0,0,0,0,1,1,0,0,17,0,0,0,0.0,0.0,0.0,1,0,11,12,0,91.7,2,10,1,12,0,0,Match Report
2,Jadon Sancho,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,W 3–2,Manchester Utd,Nott'ham Forest,N,['FW'],31,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,1,10,13,0,76.9,1,14,4,13,0,0,Match Report
0,Rasmus Hojlund,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 1–3,Manchester Utd,Arsenal,N,['FW'],24,0,0,0,0,1,0,0,0,9.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,2.0,3.0,0.0,66.7,0.0,7.0,1.0,3.0,0.0,0.0,Match Report
0,Scott McTominay,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Home,W 1–0,Manchester Utd,Wolves,N,['FW'],3,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,2,2,1,100.0,0,1,0,2,1,0,Match Report
0,Nicolas Jackson,2023/2024,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 1–1,Chelsea,Liverpool,Y,['FW'],90,0,0,0,0,4,2,1,0,33.0,0.0,0,1.0,0.5,0.5,0.0,0.0,0.0,17.0,21.0,3.0,81.0,0.0,24.0,5.0,21.0,3.0,2.0,Match Report
1,Nicolas Jackson,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 1–3,Chelsea,West Ham,Y,['FW'],90,0,0,0,0,2,0,1,0,42.0,3.0,0,2.0,0.8,0.8,0.0,2.0,0.0,21.0,31.0,3.0,67.7,1.0,22.0,2.0,31.0,3.0,1.0,Match Report
2,Nicolas Jackson,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Home,W 3–0,Chelsea,Luton Town,Y,['FW'],82,1,0,0,0,5,3,0,0,41.0,1.0,1,1.0,0.7,0.7,0.3,7.0,0.0,20.0,23.0,2.0,87.0,2.0,26.0,5.0,23.0,2.0,2.0,Match Report
4,Nicolas Jackson,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 0–1,Chelsea,Nott'ham Forest,Y,['FW'],90,0,0,0,0,4,0,1,0,45.0,0.0,0,0.0,1.0,1.0,0.0,7.0,0.0,22.0,26.0,6.0,84.6,5.0,36.0,4.0,26.0,6.0,5.0,Match Report
1,Raheem Sterling,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 1–3,Chelsea,West Ham,Y,"['AM', 'FW']",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.1,0.1,0.1,7.0,0.0,37.0,53.0,12.0,69.8,4.0,51.0,10.0,53.0,12.0,6.0,Match Report
2,Raheem Sterling,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Home,W 3–0,Chelsea,Luton Town,Y,"['AM', 'RM', 'FW']",89.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,0.9,0.9,0.3,6.0,1.0,32.0,37.0,5.0,86.5,3.0,40.0,5.0,37.0,5.0,2.0,Match Report
1,Noni Madueke,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 1–3,Chelsea,West Ham,N,"['WB', 'FW']",16,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,9,12,1,75.0,0,12,2,12,1,0,Match Report
1,Mason Burstow,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 1–3,Chelsea,West Ham,N,['FW'],8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,0,75.0,0,1,0,4,0,0,Match Report
2,Mason Burstow,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Home,W 3–0,Chelsea,Luton Town,N,['FW'],1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,0,1,0,0,0,0,Match Report
0,Raul Jimenez,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Fulham,Everton,Y,['FW'],57,0,0,0,0,1.0,0.0,0,0,19.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,12.0,17.0,0.0,70.6,1.0,19.0,0.0,17.0,0.0,0.0,Match Report
1,Raul Jimenez,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 0–3,Fulham,Brentford,Y,['FW'],85,0,0,0,0,2.0,0.0,0,0,37.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,15.0,26.0,1.0,57.7,0.0,24.0,2.0,26.0,1.0,0.0,Match Report
2,Raul Jimenez,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,D 2–2,Fulham,Arsenal,Y,['FW'],90,0,0,0,0,2.0,0.0,1,0,40.0,3.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,12.0,23.0,0.0,52.2,2.0,10.0,0.0,23.0,0.0,0.0,Match Report
4,Raul Jimenez,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–5,Fulham,Manchester City,Y,['FW'],80,0,0,0,0,2.0,1.0,0,0,31.0,1.0,0.0,1.0,0.2,0.2,0.7,4.0,1.0,13.0,21.0,2.0,61.9,0.0,17.0,1.0,21.0,2.0,2.0,Match Report
0,Aleksandar Mitrovic,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Fulham,Everton,N,['FW'],33,0,0,0,0,2,1,0,0,12.0,0.0,0,0.0,0.2,0.2,0.0,2.0,1.0,4.0,8.0,3.0,50.0,1.0,5.0,0.0,8.0,3.0,3.0,Match Report
0,Rodrigo Muniz,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 0–3,Fulham,Brentford,N,['FW'],5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,50.0,0,1,0,2,0,0,Match Report
3,Rodrigo Muniz,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–5,Fulham,Manchester City,N,['FW'],10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,0,66.7,1,2,0,3,0,0,Match Report
0,Alexander Isak,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 5–1,Newcastle Utd,Aston Villa,Y,['FW'],67,2,0,0,0,3,3,0,0,24.0,0.0,0,0.0,0.8,0.8,0.0,1.0,0.0,12.0,16.0,3.0,75.0,1.0,16.0,2.0,16.0,3.0,1.0,Match Report
1,Alexander Isak,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 0–1,Newcastle Utd,Manchester City,Y,['FW'],65,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,2.0,80.0,1.0,9.0,1.0,10.0,2.0,1.0,Match Report
2,Alexander Isak,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Newcastle Utd,Liverpool,Y,['FW'],71,0,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.2,0.2,0.1,2.0,0.0,4.0,5.0,0.0,80.0,1.0,6.0,0.0,5.0,0.0,0.0,Match Report
3,Alexander Isak,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–3,Newcastle Utd,Brighton,Y,"['FW', 'LW']",73,0,0,0,0,4,0,0,0,25.0,0.0,0,0.0,0.4,0.4,0.0,2.0,0.0,11.0,16.0,6.0,68.8,2.0,19.0,3.0,16.0,6.0,5.0,Match Report
0,Callum Wilson,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,W 5–1,Newcastle Utd,Aston Villa,N,['FW'],23,1,0,0,0,4,4,0,0,10,0,0,1,0.9,0.9,0.0,1,0,3,4,0,75.0,0,8,0,4,0,0,Match Report
1,Callum Wilson,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 0–1,Newcastle Utd,Manchester City,N,['FW'],25,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,2,0,3,5,2,60.0,0,5,1,5,2,1,Match Report
2,Callum Wilson,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Newcastle Utd,Liverpool,N,['FW'],19,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,0,2,0,0.0,0,2,0,2,0,0,Match Report
3,Callum Wilson,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–3,Newcastle Utd,Brighton,N,['FW'],33,1,0,0,0,1,1,0,0,10,0,0,0,0.4,0.4,0.0,2,1,5,5,1,100.0,0,4,0,5,1,1,Match Report
0,Matheus Cunha,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,Y,['FW'],76,0,0,0,0,5,1,0,0,31,2,2,1,0.6,0.6,0.1,5,0,15,17,3,88.2,2,19,4,17,3,3,Match Report
1,Matheus Cunha,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,Y,['FW'],90,0,0,0,0,1,1,0,0,40,1,0,0,0.4,0.4,0.6,5,1,20,25,6,80.0,4,27,5,25,6,5,Match Report
2,Matheus Cunha,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,Y,['FW'],84,0,0,0,0,2,0,0,0,29,1,0,1,0.2,0.2,0.0,0,0,17,19,2,89.5,1,19,0,19,2,0,Match Report
4,Matheus Cunha,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,Y,['FW'],90,1,0,0,0,2,1,0,0,46,1,0,2,0.7,0.7,0.0,0,0,27,32,6,84.4,2,19,4,32,6,3,Match Report
0,Fabio Silva,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,N,['FW'],14,0,0,0,0,3,2,0,0,12.0,1.0,1,0.0,0.3,0.3,0.1,1.0,0.0,5.0,5.0,0.0,100.0,0.0,3.0,0.0,5.0,0.0,0.0,Match Report
1,Fabio Silva,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,Y,['FW'],54,0,0,0,0,1,1,0,0,25.0,2.0,0,0.0,0.4,0.4,0.1,4.0,0.0,13.0,18.0,2.0,72.2,0.0,20.0,2.0,18.0,2.0,1.0,Match Report
2,Fabio Silva,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,Y,['FW'],73,0,0,0,0,1,0,0,0,19.0,1.0,0,0.0,0.3,0.3,0.0,2.0,0.0,11.0,13.0,2.0,84.6,4.0,14.0,1.0,13.0,2.0,1.0,Match Report
4,Fabio Silva,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,Y,['FW'],73,0,0,0,0,2,0,0,0,28.0,1.0,1,0.0,0.0,0.0,0.1,2.0,0.0,21.0,23.0,1.0,91.3,4.0,13.0,1.0,23.0,1.0,0.0,Match Report
0,Pablo Sarabia,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,Y,['FW'],62,0,0,0,0,1,0,0,0,26.0,0.0,0,2.0,0.1,0.1,0.7,4.0,0.0,12.0,17.0,0.0,70.6,2.0,17.0,1.0,17.0,0.0,0.0,Match Report
1,Pablo Sarabia,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,N,['FW'],35,0,1,0,0,1,1,0,0,23.0,1.0,0,0.0,0.0,0.0,0.7,2.0,1.0,13.0,21.0,1.0,61.9,5.0,15.0,1.0,21.0,1.0,1.0,Match Report
2,Pablo Sarabia,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,N,['FW'],17,0,0,0,0,2,1,0,0,9.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,5.0,7.0,0.0,71.4,1.0,6.0,1.0,7.0,0.0,0.0,Match Report
0,Sasa Kalajdzic,2023/2024,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,N,['FW'],3,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.1,0,0,3,4,0,75.0,0,3,0,4,0,0,Match Report
2,Sasa Kalajdzic,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,N,['FW'],6,1,0,0,0,1,1,0,0,8,1,0,0,0.3,0.3,0.0,1,0,4,6,0,66.7,0,4,0,6,0,0,Match Report
4,Sasa Kalajdzic,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,N,['FW'],10,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,2,1,0.0,0,1,0,2,1,1,Match Report
4,Boubacar Traore,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,N,"['CM', 'FW']",17,0,0,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.0,0,0,14,15,0,93.3,1,7,0,15,0,0,Match Report
0,Dominic Solanke,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,Y,['FW'],90,1,0,0,0,3,2,0,0,29.0,1.0,0,0.0,1.0,1.0,0.1,5.0,1.0,12.0,16.0,3.0,75.0,2.0,24.0,2.0,16.0,3.0,1.0,Match Report
1,Dominic Solanke,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,Y,"['FW', 'AM']",90,0,1,0,0,3,0,0,0,29.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,10.0,17.0,3.0,58.8,0.0,13.0,2.0,17.0,3.0,2.0,Match Report
2,Dominic Solanke,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–2,Bournemouth,Tottenham,Y,['FW'],90,0,0,0,0,1,0,0,0,22.0,0.0,1,0.0,0.1,0.1,0.0,2.0,0.0,9.0,11.0,3.0,81.8,1.0,9.0,0.0,11.0,3.0,0.0,Match Report
4,Dominic Solanke,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Bournemouth,Brentford,Y,['FW'],90,1,0,0,0,2,2,0,0,38.0,0.0,0,0.0,0.6,0.6,0.1,2.0,0.0,13.0,15.0,3.0,86.7,3.0,19.0,2.0,15.0,3.0,0.0,Match Report
1,Kieffer Moore,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,N,['FW'],28,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,0,0,4,8,0,50.0,1,2,0,8,0,0,Match Report
2,Kieffer Moore,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–2,Bournemouth,Tottenham,N,['FW'],5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,0,75.0,1,0,0,4,0,0,Match Report
2,Benie Adama Traore,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,"['AM', 'FW']",81,0,0,0,0,1,1,0,0,24.0,0.0,0,1.0,0.3,0.3,0.0,0.0,0.0,13.0,16.0,7.0,81.3,3.0,14.0,2.0,16.0,7.0,2.0,Match Report
3,Benie Adama Traore,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,Y,['FW'],90,0,0,0,0,0,0,0,0,23.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,14.0,5.0,57.1,0.0,16.0,2.0,14.0,5.0,1.0,Match Report
5,Benie Adama Traore,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,N,['FW'],16,0,0,0,0,0,0,0,0,7.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,66.7,1.0,5.0,0.0,3.0,2.0,0.0,Match Report
0,William Osula,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,['FW'],90,0,0,0,0,2,0,1,0,22,0,0,1,0.2,0.2,0.0,0,0,6,9,2,66.7,0,13,1,9,2,0,Match Report
1,William Osula,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,['FW'],73,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,5,9,2,55.6,0,9,0,9,2,0,Match Report
2,William Osula,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,Y,['FW'],70,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,3,11,2,27.3,0,8,1,11,2,0,Match Report
0,Oliver McBurnie,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Manchester City,N,['FW'],20,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.3,1.0,0.0,2.0,8.0,0.0,25.0,0.0,5.0,0.0,8.0,0.0,0.0,Match Report
2,Oliver McBurnie,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['FW'],90,0,1,0,0,2,2,0,0,33.0,1.0,1,4.0,0.4,0.4,0.1,2.0,1.0,14.0,22.0,2.0,63.6,1.0,19.0,0.0,22.0,2.0,1.0,Match Report
3,Cameron Archer,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Sheffield Utd,Everton,Y,['FW'],74,1,0,0,0,2,1,0,0,14,0,0,0,0.2,0.2,0.0,0,0,6,6,2,100.0,0,13,1,6,2,1,Match Report
1,Antwoine Hackford,2023/2024,2023-08-18,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,N,['FW'],9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,1,100.0,0,3,0,2,1,0,Match Report
0,Abdoulaye Doucoure,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,['FW'],90,0,0,0,0,2,1,0,0,36.0,0.0,0,2.0,0.6,0.6,0.8,3.0,0.0,22.0,27.0,2.0,81.5,3.0,20.0,3.0,27.0,2.0,0.0,Match Report
1,Abdoulaye Doucoure,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"['CM', 'FW']",89,0,0,0,0,1,0,0,0,30.0,1.0,1,0.0,0.1,0.1,0.0,1.0,0.0,21.0,26.0,2.0,80.8,2.0,18.0,2.0,26.0,2.0,2.0,Match Report
4,Abdoulaye Doucoure,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,['FW'],90,1,0,0,0,4,3,1,0,57.0,1.0,0,2.0,1.1,1.1,0.2,3.0,1.0,37.0,47.0,1.0,78.7,3.0,31.0,3.0,47.0,1.0,1.0,Match Report
0,Arnaut Danjuma,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,N,['FW'],19,0,0,0,0,0,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.2,0.0,0.0,3.0,5.0,1.0,60.0,2.0,4.0,1.0,5.0,1.0,0.0,Match Report
1,Arnaut Danjuma,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,N,"['LM', 'FW']",53,0,0,0,0,4,1,0,0,29.0,0.0,0,0.0,0.2,0.2,0.0,4.0,0.0,16.0,18.0,3.0,88.9,0.0,18.0,2.0,18.0,3.0,2.0,Match Report
2,Arnaut Danjuma,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,"['FW', 'LM']",89,0,0,0,0,5,3,0,0,23.0,0.0,0,0.0,0.5,0.5,0.0,2.0,0.0,12.0,17.0,1.0,70.6,1.0,20.0,5.0,17.0,1.0,0.0,Match Report
0,Neal Maupay,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,['FW'],71,0,0,0,0,4,3,0,0,19,0,0,1,1.3,1.3,0.1,2,0,8,9,0,88.9,0,9,1,9,0,0,Match Report
1,Neal Maupay,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,N,['FW'],40,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.0,1,0,14,17,0,82.4,0,11,0,17,0,0,Match Report
3,Beto,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,['FW'],90,0,0,0,0,4,0,0,0,40.0,3.0,0,0.0,0.3,0.3,0.2,9.0,1.0,10.0,19.0,9.0,52.6,2.0,22.0,3.0,19.0,9.0,6.0,Match Report
0,Dominic Calvert Lewin,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,['FW'],37,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,0,75.0,1,3,0,4,0,0,Match Report
0,Youssef Chermiti,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,N,['FW'],25,0,0,0,0,1,0,1,0,10,0,0,0,0.1,0.1,0.0,0,0,4,5,1,80.0,1,8,0,5,1,0,Match Report
2,Thomas Cannon,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,N,['FW'],1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,Match Report
0,Carlton Morris,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y,['FW'],90,1,0,1,1,3,1,0,0,41,0,0,0,1.1,0.3,0.0,4,1,20,33,1,60.6,5,19,2,33,1,1,Match Report
2,Carlton Morris,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,Y,['FW'],90,0,0,0,0,3,0,0,0,27,0,0,0,0.2,0.2,0.0,3,0,12,17,2,70.6,5,14,1,17,2,1,Match Report
4,Carlton Morris,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,Y*,['FW'],90,0,1,0,0,2,0,0,0,52,2,0,2,0.2,0.2,0.1,4,1,18,36,1,50.0,2,16,1,36,1,0,Match Report
0,Elijah Adebayo,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y,['FW'],63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,3.0,70.0,4.0,7.0,1.0,10.0,3.0,0.0,Match Report
2,Elijah Adebayo,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,Y,['FW'],69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,13.0,15.0,2.0,86.7,1.0,12.0,0.0,15.0,2.0,1.0,Match Report
4,Elijah Adebayo,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,Y,['FW'],70.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,4.0,6.0,5.0,66.7,0.0,12.0,0.0,6.0,5.0,2.0,Match Report
1,Jacob Brown,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,N,['FW'],27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,3.0,7.0,0.0,42.9,0.0,5.0,1.0,7.0,0.0,0.0,Match Report
3,Jacob Brown,2023/2024,2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,N,"['RW', 'FW']",21.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,4.0,1.0,50.0,0.0,5.0,1.0,4.0,1.0,0.0,Match Report
5,Jacob Brown,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,N,['FW'],20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,Match Report
2,Lyle Foster,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,['FW'],80.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10.0,14.0,0.0,71.4,0.0,12.0,3.0,14.0,0.0,0.0,Match Report
4,Lyle Foster,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,"['FW', 'AM']",90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,42.0,1.0,0.0,0.0,0.5,0.5,0.0,3.0,0.0,22.0,28.0,2.0,78.6,1.0,26.0,3.0,28.0,2.0,0.0,Match Report
0,Zeki Amdouni,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,['FW'],60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,11.0,4.0,90.9,0.0,11.0,1.0,11.0,4.0,2.0,Match Report
