,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP
15,Curtis Jones,eng ENG,MF,22-222,,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
16,Harvey Elliott,eng ENG,MF,20-158,,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,4.0
17,Jarrell Quansah,eng ENG,DF,20-223,,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
18,Ben Doak,sct SCO,FW,17-302,,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
19,Kostas Tsimikas,gr GRE,MF,27-120,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
0,Alphonse Areola,fr FRA,GK,30-194,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0
1,Jarrod Bowen,eng ENG,"FW,MF",26-263,,4,360.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,0.5,2.8,11.0,8.0,18.0,0.75,0.25,1.0,0.75,1.0,0.57,0.13,0.71,0.57,0.71,Matches,4.0
2,Vladimír Coufal,cz CZE,DF,31-018,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,4.0
3,Emerson Palmieri,it ITA,DF,29-037,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.6,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.16,0.01,0.16,Matches,4.0
4,Kurt Zouma,fr FRA,DF,28-317,,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,3.0,0.0,0.25,0.0,0.25,0.25,0.25,0.05,0.0,0.05,0.05,0.05,Matches,4.0
5,Lucas Paquetá,br BRA,MF,26-013,,4,352.0,3.9,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.4,0.6,1.2,1.8,1.0,26.0,6.0,0.26,0.26,0.51,0.0,0.26,0.35,0.31,0.67,0.15,0.47,Matches,4.0
6,Michail Antonio,jm JAM,FW,33-165,,4,309.0,3.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,5.0,4.0,14.0,0.58,0.0,0.58,0.58,0.58,0.25,0.09,0.34,0.25,0.34,Matches,4.0
7,Saïd Benrahma,dz ALG,"FW,MF",28-030,,3,281.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,15.0,14.0,37.0,0.0,0.32,0.32,0.0,0.32,0.12,0.26,0.38,0.12,0.38,Matches,4.0
8,James Ward-Prowse,eng ENG,MF,28-312,,3,260.0,2.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,1.0,11.0,3.0,0.35,1.04,1.38,0.35,1.38,0.29,0.14,0.43,0.29,0.43,Matches,3.0
9,Nayef Aguerd,ma MAR,DF,27-163,,3,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.2,1.0,8.0,0.0,0.37,0.0,0.37,0.37,0.37,0.05,0.01,0.06,0.05,0.06,Matches,3.0
10,Tomáš Souček,cz CZE,MF,28-194,,3,218.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.6,1.0,4.0,2.0,0.0,0.41,0.41,0.0,0.41,0.15,0.11,0.26,0.15,0.26,Matches,3.0
11,Edson Álvarez,mx MEX,MF,25-320,,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,3.0
12,Pablo Fornals,es ESP,"MF,FW",27-199,,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,2.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.2,0.15,0.2,Matches,4.0
13,Angelo Ogbonna,it ITA,DF,35-109,,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
14,Danny Ings,eng ENG,FW,31-048,,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,Matches,3.0
15,Thilo Kehrer,de GER,"DF,MF",26-353,,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0
16,Maxwel Cornet,ci CIV,MF,26-347,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
17,Kudus Mohammed,gh GHA,MF,23-038,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0
0,Aaron Ramsdale,eng ENG,GK,25-118,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
1,William Saliba,fr FRA,DF,22-169,4.0,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,26.0,1.0,0.0,0.25,0.25,0.0,0.25,0.01,0.02,0.03,0.01,0.03,Matches,
2,Ben White,eng ENG,DF,25-336,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,7.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,
3,Declan Rice,eng ENG,MF,24-238,4.0,4,359.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,6.0,25.0,5.0,0.25,0.0,0.25,0.25,0.25,0.12,0.11,0.23,0.12,0.23,Matches,
4,Bukayo Saka,eng ENG,FW,22-004,4.0,4,358.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.2,1.4,1.2,2.7,26.0,17.0,67.0,0.5,0.25,0.75,0.25,0.5,0.56,0.31,0.87,0.36,0.67,Matches,
5,Martin Ødegaard,no NOR,MF,24-266,4.0,4,350.0,3.9,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.4,0.6,0.1,0.6,16.0,25.0,19.0,0.51,0.0,0.51,0.26,0.26,0.35,0.02,0.37,0.15,0.16,Matches,
6,Gabriel Martinelli,br BRA,FW,22-083,4.0,4,333.0,3.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,17.0,14.0,52.0,0.0,0.54,0.54,0.0,0.54,0.19,0.09,0.28,0.19,0.28,Matches,
7,Kai Havertz,de GER,"MF,FW",24-090,4.0,4,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.6,1.3,5.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.38,0.2,0.38,Matches,
8,Eddie Nketiah,eng ENG,FW,24-102,4.0,3,271.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,4.0,5.0,17.0,0.66,0.0,0.66,0.66,0.66,0.47,0.06,0.53,0.47,0.53,Matches,
9,Thomas Partey,gh GHA,DF,30-088,3.0,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,
10,Takehiro Tomiyasu,jp JPN,DF,24-308,3.0,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,
